11-02-2023 03:02:47 - Kirill, 343002087, /start
11-02-2023 03:02:53 - Kirill, 343002087, /hi
11-02-2023 03:02:55 - Kirill, 343002087, /time
11-02-2023 03:03:06 - Kirill, 343002087, /sum 123 321
11-02-2023 03:03:09 - Kirill, 343002087, /help
12-02-2023 02:20:53 - Kirill, 343002087, /hi, None
12-02-2023 02:31:03 - Kirill, 343002087, /hi
12-02-2023 02:31:06 - Kirill, 343002087, /time
12-02-2023 02:33:19 - Kirill, 343002087, /hi
12-02-2023 02:34:02 - Kirill, 343002087, /hi
12-02-2023 02:37:42 - Kirill, 343002087, /start
12-02-2023 02:38:21 - Kirill, 343002087, /start
12-02-2023 02:39:18 - Kirill, 343002087, /start
12-02-2023 02:39:54 - Kirill, 343002087, /start
12-02-2023 02:40:49 - Kirill, 343002087, /start
12-02-2023 02:41:35 - Kirill, 343002087, /start
12-02-2023 02:41:41 - Kirill, 343002087, /sum
12-02-2023 02:42:03 - Kirill, 343002087, /start
12-02-2023 02:43:03 - Kirill, 343002087, /start
12-02-2023 02:43:09 - Kirill, 343002087, /time
12-02-2023 02:43:11 - Kirill, 343002087, /help
12-02-2023 02:43:14 - Kirill, 343002087, /hi
12-02-2023 02:59:31 - Артём, 715388518, /start
15-02-2023 12:17:13 - Kirill, 343002087, /start
15-02-2023 12:17:27 - Kirill, 343002087, /hi
